country_name,sex,age_group,2024
Afghanistan,Female,25+,28.298
Afghanistan,Male,25+,13.087
Albania,Female,25+,9.488
Albania,Male,25+,9.324
Algeria,Female,25+,18.4
Algeria,Male,25+,7.615
Angola,Female,25+,10.451
Angola,Male,25+,8.866
Argentina,Female,25+,5.728
Argentina,Male,25+,4.657
Armenia,Female,25+,5.248
Armenia,Male,25+,9.609
Australia,Female,25+,2.97
Australia,Male,25+,2.86
Austria,Female,25+,4.747
Austria,Male,25+,5.297
Azerbaijan,Female,25+,5.551
Azerbaijan,Male,25+,3.744
Bahamas,Female,25+,7.262
Bahamas,Male,25+,7.132
Bahrain,Female,25+,2.968
Bahrain,Male,25+,0.322
Bangladesh,Female,25+,4.42
Bangladesh,Male,25+,1.676
Barbados,Female,25+,5.182
Barbados,Male,25+,6.203
Belarus,Female,25+,2.302
Belarus,Male,25+,3.448
Belgium,Female,25+,4.374
Belgium,Male,25+,4.99
Belize,Female,25+,9.215
Belize,Male,25+,3.479
Benin,Female,25+,1.013
Benin,Male,25+,0.818
Bhutan,Female,25+,5.44
Bhutan,Male,25+,2.855
Bolivia,Female,25+,4.201
Bolivia,Male,25+,2.885
Bosnia and Herzegovina,Female,25+,12.519
Bosnia and Herzegovina,Male,25+,8.559
Botswana,Female,25+,21.928
Botswana,Male,25+,17.602
Brazil,Female,25+,7.021
Brazil,Male,25+,4.599
Brunei Darussalam,Female,25+,3.818
Brunei Darussalam,Male,25+,2.143
Bulgaria,Female,25+,3.762
Bulgaria,Male,25+,3.512
Burkina Faso,Female,25+,3.699
Burkina Faso,Male,25+,3.789
Burundi,Female,25+,0.588
Burundi,Male,25+,0.57
Cabo Verde,Female,25+,8.657
Cabo Verde,Male,25+,10.612
Cambodia,Female,25+,0.115
Cambodia,Male,25+,0.086
Cameroon,Female,25+,3.435
Cameroon,Male,25+,2.372
Canada,Female,25+,5.129
Canada,Male,25+,5.269
Central African Republic,Female,25+,4.798
Central African Republic,Male,25+,3.737
Chad,Female,25+,0.671
Chad,Male,25+,0.946
Channel Islands,Female,25+,5.41
Channel Islands,Male,25+,4.82
Chile,Female,25+,8.596
Chile,Male,25+,7.921
China,Female,25+,3.318
China,Male,25+,4.128
Colombia,Female,25+,9.691
Colombia,Male,25+,6.184
Comoros,Female,25+,5.835
Comoros,Male,25+,4.754
Congo,Female,25+,15.951
Congo,Male,25+,12.533
Congo,Female,25+,2.797
Congo,Male,25+,4.247
Costa Rica,Female,25+,7.494
Costa Rica,Male,25+,4.621
Croatia,Female,25+,6.188
Croatia,Male,25+,4.53
Cuba,Female,25+,0.983
Cuba,Male,25+,0.898
Cyprus,Female,25+,5.762
Cyprus,Male,25+,5.213
Czechia,Female,25+,2.581
Czechia,Male,25+,1.776
Ivory Coast,Female,25+,2.446
Ivory Coast,Male,25+,1.537
Denmark,Female,25+,4.196
Denmark,Male,25+,3.626
Djibouti,Female,25+,27.576
Djibouti,Male,25+,15.778
Dominican Republic,Female,25+,6.63
Dominican Republic,Male,25+,2.445
Ecuador,Female,25+,3.33
Ecuador,Male,25+,2.386
Egypt,Female,25+,10.282
Egypt,Male,25+,3.483
El Salvador,Female,25+,1.789
El Salvador,Male,25+,1.87
Equatorial Guinea,Female,25+,8.077
Equatorial Guinea,Male,25+,6.577
Eritrea,Female,25+,4.467
Eritrea,Male,25+,3.279
Estonia,Female,25+,7.031
Estonia,Male,25+,5.707
Eswatini,Female,25+,19.257
Eswatini,Male,25+,16.585
Ethiopia,Female,25+,3.352
Ethiopia,Male,25+,1.71
Fiji,Female,25+,2.312
Fiji,Male,25+,2.047
Finland,Female,25+,5.277
Finland,Male,25+,6.588
France,Female,25+,5.987
France,Male,25+,5.96
French Polynesia,Female,25+,8.473
French Polynesia,Male,25+,7.383
Gabon,Female,25+,27.326
Gabon,Male,25+,12.532
Gambia,Female,25+,2.027
Gambia,Male,25+,4.047
Georgia,Female,25+,8.865
Georgia,Male,25+,11.387
Germany,Female,25+,2.595
Germany,Male,25+,3.002
Ghana,Female,25+,3.084
Ghana,Male,25+,2.698
Greece,Female,25+,11.78
Greece,Male,25+,6.597
Guam,Female,25+,3.571
Guam,Male,25+,4.611
Guatemala,Female,25+,3.155
Guatemala,Male,25+,1.374
Guinea,Female,25+,4.687
Guinea,Male,25+,5.125
Guinea-Bissau,Female,25+,2.245
Guinea-Bissau,Male,25+,3.355
Guyana,Female,25+,6.99
Guyana,Male,25+,6.08
Haiti,Female,25+,13.208
Haiti,Male,25+,8.628
Honduras,Female,25+,6.451
Honduras,Male,25+,3.977
"Hong Kong, China",Female,25+,2.956
"Hong Kong, China",Male,25+,4.171
Hungary,Female,25+,3.591
Hungary,Male,25+,3.329
Iceland,Female,25+,1.921
Iceland,Male,25+,2.753
India,Female,25+,2.28
India,Male,25+,2.765
Indonesia,Female,25+,1.222
Indonesia,Male,25+,1.755
"Iran, Islamic Republic of",Female,25+,13.206
"Iran, Islamic Republic of",Male,25+,6.133
Iraq,Female,25+,23.512
Iraq,Male,25+,9.315
Ireland,Female,25+,3.612
Ireland,Male,25+,3.904
Israel,Female,25+,3.172
Israel,Male,25+,3.298
Italy,Female,25+,7.971
Italy,Male,25+,6.051
Jamaica,Female,25+,4.583
Jamaica,Male,25+,3.322
Japan,Female,25+,2.44
Japan,Male,25+,2.784
Jordan,Female,25+,19.484
Jordan,Male,25+,12.979
Kazakhstan,Female,25+,5.311
Kazakhstan,Male,25+,4.16
Kenya,Female,25+,5.303
Kenya,Male,25+,2.609
North Korea,Female,25+,2.211
North Korea,Male,25+,2.301
South Korea,Female,25+,2.63
South Korea,Male,25+,2.69
Kuwait,Female,25+,4.325
Kuwait,Male,25+,0.496
Kyrgyzstan,Female,25+,3.489
Kyrgyzstan,Male,25+,3.069
Laos,Female,25+,2.373
Laos,Male,25+,3.676
Latvia,Female,25+,5.003
Latvia,Male,25+,7.44
Lebanon,Female,25+,12.985
Lebanon,Male,25+,6.956
Lesotho,Female,25+,14.945
Lesotho,Male,25+,13.652
Liberia,Female,25+,2.169
Liberia,Male,25+,3.802
Libya,Female,25+,20.827
Libya,Male,25+,11.933
Lithuania,Female,25+,5.917
Lithuania,Male,25+,6.366
Luxembourg,Female,25+,3.925
Luxembourg,Male,25+,5.058
"Macau, China",Female,25+,0.892
"Macau, China",Male,25+,1.041
Madagascar,Female,25+,1.357
Madagascar,Male,25+,0.989
Malawi,Female,25+,5.381
Malawi,Male,25+,3.129
Malaysia,Female,25+,2.467
Malaysia,Male,25+,2.455
Maldives,Female,25+,2.652
Maldives,Male,25+,3.064
Mali,Female,25+,2.473
Mali,Male,25+,2.807
Malta,Female,25+,2.416
Malta,Male,25+,1.644
Mauritania,Female,25+,12.21
Mauritania,Male,25+,5.655
Mauritius,Female,25+,4.681
Mauritius,Male,25+,1.459
Mexico,Female,25+,2.365
Mexico,Male,25+,2.421
"Moldova, Republic of",Female,25+,0.934
"Moldova, Republic of",Male,25+,1.628
Mongolia,Female,25+,3.285
Mongolia,Male,25+,5.47
Montenegro,Female,25+,12.856
Montenegro,Male,25+,12.755
Morocco,Female,25+,9.187
Morocco,Male,25+,7.214
Mozambique,Female,25+,2.645
Mozambique,Male,25+,1.61
Myanmar,Female,25+,2.118
Myanmar,Male,25+,1.052
Namibia,Female,25+,15.227
Namibia,Male,25+,17.703
Nepal,Female,25+,9.852
Nepal,Male,25+,7.536
Netherlands,Female,25+,2.776
Netherlands,Male,25+,2.344
New Caledonia,Female,25+,8.418
New Caledonia,Male,25+,7.592
New Zealand,Female,25+,2.961
New Zealand,Male,25+,2.566
Nicaragua,Female,25+,3.556
Nicaragua,Male,25+,3.569
Niger,Female,25+,0.404
Niger,Male,25+,0.452
Nigeria,Female,25+,4.482
Nigeria,Male,25+,1.769
North Macedonia,Female,25+,10.857
North Macedonia,Male,25+,11.359
Norway,Female,25+,2.075
Norway,Male,25+,2.617
Palestinian Territories,Female,25+,
Palestinian Territories,Male,25+,
Oman,Female,25+,4.282
Oman,Male,25+,0.254
Pakistan,Female,25+,6.696
Pakistan,Male,25+,3.547
Panama,Female,25+,6.931
Panama,Male,25+,4.571
Papua New Guinea,Female,25+,0.908
Papua New Guinea,Male,25+,3.225
Paraguay,Female,25+,5.504
Paraguay,Male,25+,3.174
Peru,Female,25+,3.347
Peru,Male,25+,1.907
Philippines,Female,25+,1.569
Philippines,Male,25+,1.353
Poland,Female,25+,2.123
Poland,Male,25+,2.017
Portugal,Female,25+,6.182
Portugal,Male,25+,4.98
Puerto Rico,Female,25+,4.511
Puerto Rico,Male,25+,6.038
Qatar,Female,25+,0.293
Qatar,Male,25+,0.06
Romania,Female,25+,3.857
Romania,Male,25+,4.703
Russia,Female,25+,2.648
Russia,Male,25+,2.493
Rwanda,Female,25+,14.544
Rwanda,Male,25+,11.379
Saint Lucia,Female,25+,14.057
Saint Lucia,Male,25+,8.158
Saint Vincent and the Grenadines,Female,25+,12.439
Saint Vincent and the Grenadines,Male,25+,14.864
Samoa,Female,25+,10.051
Samoa,Male,25+,4.241
Sao Tome and Principe,Female,25+,19.198
Sao Tome and Principe,Male,25+,8.344
Saudi Arabia,Female,25+,13.118
Saudi Arabia,Male,25+,1.069
Senegal,Female,25+,2.388
Senegal,Male,25+,2.72
Serbia,Female,25+,6.339
Serbia,Male,25+,5.552
Sierra Leone,Female,25+,1.986
Sierra Leone,Male,25+,3.976
Singapore,Female,25+,3.256
Singapore,Male,25+,3.146
Slovakia,Female,25+,5.302
Slovakia,Male,25+,4.546
Slovenia,Female,25+,3.273
Slovenia,Male,25+,2.769
Solomon Islands,Female,25+,1.001
Solomon Islands,Male,25+,1.159
Somalia,Female,25+,21.424
Somalia,Male,25+,13.491
South Africa,Female,25+,27.594
South Africa,Male,25+,23.88
South America,Female,25+,6.605
South America,Male,25+,4.572
South Sudan,Female,25+,10.832
South Sudan,Male,25+,6.844
Spain,Female,25+,12.945
Spain,Male,25+,9.238
Sri Lanka,Female,25+,6.714
Sri Lanka,Male,25+,2.329
Sudan,Female,25+,30.532
Sudan,Male,25+,11.301
Suriname,Female,25+,6.733
Suriname,Male,25+,3.13
Sweden,Female,25+,6.544
Sweden,Male,25+,6.526
Switzerland,Female,25+,3.783
Switzerland,Male,25+,3.184
Syrian Arab Republic,Female,25+,18.682
Syrian Arab Republic,Male,25+,5.57
"Taiwan, China",Female,25+,2.758
"Taiwan, China",Male,25+,3.191
Tajikistan,Female,25+,3.762
Tajikistan,Male,25+,5.779
"Tanzania, United Republic of",Female,25+,3.057
"Tanzania, United Republic of",Male,25+,1.254
Thailand,Female,25+,0.425
Thailand,Male,25+,0.412
Timor-Leste,Female,25+,1.49
Timor-Leste,Male,25+,1.025
Togo,Female,25+,1.94
Togo,Male,25+,3.597
Tonga,Female,25+,1.675
Tonga,Male,25+,1.358
Trinidad and Tobago,Female,25+,3.163
Trinidad and Tobago,Male,25+,2.031
Tunisia,Female,25+,24.255
Tunisia,Male,25+,11.108
Turkmenistan,Female,25+,1.971
Turkmenistan,Male,25+,4.926
Turkey,Female,25+,10.526
Turkey,Male,25+,7.223
Uganda,Female,25+,2.514
Uganda,Male,25+,1.753
Ukraine,Female,25+,
Ukraine,Male,25+,
United Arab Emirates,Female,25+,5.56
United Arab Emirates,Male,25+,1.804
United Kingdom,Female,25+,3.809
United Kingdom,Male,25+,3.558
United States of America,Female,25+,3.098
United States of America,Male,25+,3.257
United States Virgin Islands,Female,25+,11.909
United States Virgin Islands,Male,25+,9.29
Uruguay,Female,25+,7.16
Uruguay,Male,25+,4.657
Uzbekistan,Female,25+,4.717
Uzbekistan,Male,25+,2.594
Vanuatu,Female,25+,4.507
Vanuatu,Male,25+,2.527
Venezuela,Female,25+,5.156
Venezuela,Male,25+,4.263
Vietnam,Female,25+,0.881
Vietnam,Male,25+,1.223
Yemen,Female,25+,26.319
Yemen,Male,25+,11.904
Zambia,Female,25+,3.901
Zambia,Male,25+,2.621
Zimbabwe,Female,25+,7.528
Zimbabwe,Male,25+,6.703
